varname,count,sum,mean,stddev
CounterB_main,66,40.1321,0.608062,0.0468716
CounterB_LOne,66,39.8172,0.603291,0.0787169
CounterB_LTwo,66,40.447,0.612834,0.0481744
CounterC_main,43,26.1407,0.607924,0.0372527
CounterC_LOne,43,26.6935,0.620778,0.0876855
CounterC_LTwo,43,25.588,0.595069,0.0720878
CounterJ_main,69,42.5361,0.616466,0.0472399
CounterJ_LOne,69,43.1024,0.624673,0.0836415
CounterJ_LTwo,69,41.9698,0.608258,0.0654741
CounterK_main,52,31.8091,0.611714,0.0407208
CounterK_LOne,52,33.0051,0.634714,0.0808432
CounterK_LTwo,52,30.6131,0.588714,0.0741643
Counter,228,126.472,0.554704,0.0912728
Failed,172,86.0269,0.500156,0.0895953
CounterB_main,66,40.1321,0.608062,0.0468716
CounterB_LOne,66,39.8172,0.603291,0.0787169
CounterB_LTwo,66,40.447,0.612834,0.0481744
CounterC_main,42,25.5895,0.609274,0.0367693
CounterC_LOne,42,26.3531,0.627456,0.0871266
CounterC_LTwo,42,24.8258,0.591091,0.0758849
CounterJ_main,69,42.5361,0.616466,0.0472399
CounterJ_LOne,69,43.1024,0.624673,0.0836415
CounterJ_LTwo,69,41.9698,0.608258,0.0654741
CounterK_main,52,31.8091,0.611714,0.0407208
CounterK_LOne,52,33.0051,0.634714,0.0808432
CounterK_LTwo,52,30.6131,0.588714,0.0741643
Counter,227,127.444,0.561425,0.0856172
Failed,173,86.6081,0.500625,0.089547
CounterB_main,66,40.1092,0.607715,0.0468013
CounterB_LOne,66,39.7645,0.602493,0.078362
CounterB_LTwo,66,40.4538,0.612937,0.0481402
CounterC_main,42,25.5895,0.609274,0.0367693
CounterC_LOne,42,26.3531,0.627456,0.0871266
CounterC_LTwo,42,24.8258,0.591091,0.0758849
CounterJ_main,69,42.5361,0.616466,0.0472399
CounterJ_LOne,69,43.1024,0.624673,0.0836415
CounterJ_LTwo,69,41.9698,0.608258,0.0654741
CounterK_main,51,31.3083,0.613889,0.0396252
CounterK_LOne,51,32.6351,0.639903,0.0795203
CounterK_LTwo,51,29.9816,0.587875,0.0722221
Counter,224,124.799,0.557137,0.0878893
Failed,176,88.4063,0.502309,0.089928
CounterB_main,66,40.1092,0.607715,0.0468013
CounterB_LOne,66,39.7645,0.602493,0.078362
CounterB_LTwo,66,40.4538,0.612937,0.0481402
CounterC_main,42,25.5895,0.609274,0.0367693
CounterC_LOne,42,26.3531,0.627456,0.0871266
CounterC_LTwo,42,24.8258,0.591091,0.0758849
CounterJ_main,68,41.9549,0.616983,0.0473935
CounterJ_LOne,68,42.5336,0.625493,0.0839832
CounterJ_LTwo,68,41.3762,0.608473,0.0659364
CounterK_main,51,31.3623,0.614947,0.0387183
CounterK_LOne,51,32.7915,0.64297,0.0776103
CounterK_LTwo,51,29.9331,0.586924,0.0709718
Counter,222,124.711,0.56176,0.0892002
Failed,178,89.2328,0.501308,0.090153
CounterB_main,64,38.8457,0.606964,0.0471756
CounterB_LOne,64,38.4846,0.601322,0.0793042
CounterB_LTwo,64,39.2068,0.612606,0.048327
CounterC_main,42,25.6598,0.610947,0.0355185
CounterC_LOne,42,26.4105,0.628822,0.0869718
CounterC_LTwo,42,24.909,0.593072,0.0747514
CounterJ_main,67,41.4201,0.618211,0.0466489
CounterJ_LOne,67,41.9899,0.626715,0.0840066
CounterJ_LTwo,67,40.8504,0.609708,0.0656375
CounterK_main,51,31.363,0.61496,0.0387228
CounterK_LOne,51,32.8762,0.644632,0.0800447
CounterK_LTwo,51,29.8497,0.585289,0.0730092
Counter,219,121.895,0.556599,0.0928838
Failed,181,90.9037,0.502231,0.0898401
CounterB_main,64,38.8457,0.606964,0.0471756
CounterB_LOne,64,38.4846,0.601322,0.0793042
CounterB_LTwo,64,39.2068,0.612606,0.048327
CounterC_main,42,25.7202,0.612387,0.0360723
CounterC_LOne,42,26.7074,0.635891,0.0902158
CounterC_LTwo,42,24.7331,0.588882,0.0793831
CounterJ_main,67,41.4201,0.618211,0.0466489
