varname,count,sum,mean,stddev
CounterK_main,22,13.5512,0.615964,0.0232881
CounterK_LOne,22,12.9148,0.587036,0.0537536
CounterK_LTwo,22,14.1876,0.644892,0.0673789
Counter,131,76.5929,0.584679,0.0707198
Failed,69,35.4861,0.514291,0.0704208
CounterB_main,39,24.6582,0.632263,0.0315814
CounterB_LOne,39,23.8121,0.610566,0.0434098
CounterB_LTwo,39,25.5044,0.653959,0.0448939
CounterC_main,29,18.0685,0.623051,0.0208344
CounterC_LOne,29,17.511,0.603827,0.0630064
CounterC_LTwo,29,18.626,0.642276,0.0546668
CounterJ_main,41,25.6513,0.625641,0.0312137
CounterJ_LOne,41,24.938,0.608243,0.0447275
CounterJ_LTwo,41,26.3646,0.643039,0.052332
CounterK_main,22,13.5512,0.615964,0.0232881
CounterK_LOne,22,12.9148,0.587036,0.0537536
CounterK_LTwo,22,14.1876,0.644892,0.0673789
Counter,130,75.1194,0.577842,0.0776483
Failed,70,36.128,0.516114,0.0715518
CounterB_main,39,24.6582,0.632263,0.0315814
CounterB_LOne,39,23.8121,0.610566,0.0434098
CounterB_LTwo,39,25.5044,0.653959,0.0448939
CounterC_main,29,18.0803,0.62346,0.0213287
CounterC_LOne,29,17.6002,0.606903,0.0645005
CounterC_LTwo,29,18.5605,0.640018,0.0538343
CounterJ_main,41,25.6513,0.625641,0.0312137
CounterJ_LOne,41,24.938,0.608243,0.0447275
CounterJ_LTwo,41,26.3646,0.643039,0.052332
CounterK_main,22,13.5512,0.615964,0.0232881
CounterK_LOne,22,12.9148,0.587036,0.0537536
CounterK_LTwo,22,14.1876,0.644892,0.0673789
Counter,129,74.6572,0.578738,0.0782831
Failed,71,36.6251,0.515846,0.0710747
CounterB_main,38,23.9988,0.631546,0.0326258
CounterB_LOne,38,23.1841,0.610108,0.044043
CounterB_LTwo,38,24.8134,0.652984,0.0444712
CounterC_main,29,18.0803,0.62346,0.0213287
CounterC_LOne,29,17.6002,0.606903,0.0645005
CounterC_LTwo,29,18.5605,0.640018,0.0538343
